trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
174,False,"{'a': 0.001, 'e': 0.8402968976584314}",20,0,-127.82179410852486,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
175,False,"{'a': 0.001, 'e': 0.8394570207692074}",20,0,-119.69908669728308,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
176,False,"{'a': 0.001, 'e': 0.838617983337074}",30,0,-101.38650921168731,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
177,False,"{'a': 0.001, 'e': 0.8377797845229938}",20,0,-55.73320655180824,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
178,False,"{'a': 0.001, 'e': 0.8369424234887681}",20,0,-11.022607995609109,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
179,False,"{'a': 0.001, 'e': 0.8361058993970355}",20,0,-69.67424859373587,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
180,False,"{'a': 0.001, 'e': 0.835270211411272}",25,0,-139.3236149985859,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
181,False,"{'a': 0.001, 'e': 0.8344353586957896}",25,0,-75.54702430671053,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
182,False,"{'a': 0.001, 'e': 0.8336013404157353}",25,6,-19.53291088759826,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.001, 'e': 0.832768155737091}",30,9,-85.12570204404157,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 2}",1
184,False,"{'a': 0.001, 'e': 0.8319358038266718}",20,0,-133.58007894959744,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
185,False,"{'a': 0.001, 'e': 0.8311042838521256}",30,9,-47.392842091117124,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
186,False,"{'a': 0.001, 'e': 0.8302735949819326}",30,0,-52.29981994398634,"{0: 25, 1: 3, 2: 0, 3: 1, 4: 1}",0
